text,chunk_type,doi,paper_title,polymers,properties,num_properties
"Title: Polyimide Polymer Simulations through Coarse-Grained Modeling- Prediction of Structure, Physical Properties, and Gas Separation Properties

Abstract: In this study, we introduce a set of coarse-grained (CG) force field parameters for simulating a series of 6FDA-based polyimides. Utilizing atomistic descriptors, we developed CG models that accurately predict the specific volume of the polymers under investigation. Our findings suggest that certain parameters, particularly those associated with specific diamines, can be employed to predict properties such as density using a multiple linear regression. Our study further explores the halogenation of diamines and proposes methods for estimating intermolecular interaction parameters. Our calculations refer to various structural properties, including the radius of gyration, end-to-end distance, glass transition temperature, and diffusion coefficients. Utilizing the newly developed CG force field parameters, we conducted gas separation simulations for 6FDA-DAM polyimide, particularly to predict both sorption- and diffusion-separation mechanisms within the polymer. These simulations provided excellent agreement with experimental data on solubility, diffusion, and permeability selectivity for CO2/CH4, O2/N2, and propylene/propane. The results contribute significantly to our understanding of polyimide behavior, and the parameters proposed here offer a promising tool for the development of new materials with tailored properties for targeted applications.

Polymers Studied: Polyimide from 6FDA and DAM
Properties Measured: density, glass_transition_temp, radius_gyration
Force Fields Used: Martini 3

Sample Data:
  - Polyimide from 6FDA and DAM: density = 1.35
  - Polyimide from 6FDA and DAM: glass_transition_temp = 660
  - Polyimide from 6FDA and DAM: radius_gyration = 2.8

DOI: https://doi.org/10.1021/acs.jpcb.4c04595",paper,https://doi.org/10.1021/acs.jpcb.4c04595,"Polyimide Polymer Simulations through Coarse-Grained Modeling- Prediction of Structure, Physical Properties, and Gas Separation Properties",Polyimide from 6FDA and DAM,"density, glass_transition_temp, radius_gyration",3
"Title: Revised Atomic Charges for OPLS Force Field Model of Poly(Ethylene Oxide)_Benchmarks and Applications in Polymer Electrolyte

Abstract: Poly(ethylene oxide) (PEO)-based polymers are common hosts in solid polymer electrolytes (SPEs) for high-power energy devices. Molecular simulations have provided valuable molecular insights into structures and ion transport mechanisms of PEO-based SPEs. The calculation of thermodynamic and kinetic properties rely crucially on the dependability of the molecular force fields describing inter- and intra-molecular interactions with the target system. In this work, we reparametrized atomic partial charges for the widely applied optimized potentials for liquid simulations (OPLS) force field of PEO. The revised OPLS force field, OPLSR, improves the calculations of density, thermal expansion coefficient, and the phase transition of the PEO system. In particular, OPLSR greatly enhances the accuracy of the calculated dielectric constant of PEO, which is critical for simulating polymer electrolytes. The reparameterization method was further applied to SPE system of PEO/LiTFSI with O:Li ratio of 16:1. Based on the reparametrized partial charges, we applied separate charge-scaling factors for PEO and Li salts. The charge-rescaled OPLSR model significantly improves the resulting kinetics of Li+ transport while maintaining the accurate description of coordination structures within PEO-based SPE. The proposed OPLSR force field can benefit the future simulation studies of SPE systems.

Polymers Studied: Poly(ethylene oxide), Poly(ethylene oxide) with LiTFSI
Properties Measured: density, diffusion_coefficient
Force Fields Used: OPLS, OPLSR (full charge) , OPLSR, charge rescaled OPLSR (fpoly=0.8, fion=0.55)

Sample Data:
  - Poly(ethylene oxide): density = 1.1
  - Poly(ethylene oxide) with LiTFSI: diffusion_coefficient = 1.7e-13
  - Poly(ethylene oxide): density = 1.176
  - Poly(ethylene oxide): diffusion_coefficient = 1.34e-13
  - Poly(ethylene oxide): density = 1.17
  ... and 1 more measurements

DOI: https://doi.org/10.3390/polym13071131",paper,https://doi.org/10.3390/polym13071131,Revised Atomic Charges for OPLS Force Field Model of Poly(Ethylene Oxide)_Benchmarks and Applications in Polymer Electrolyte,"Poly(ethylene oxide), Poly(ethylene oxide) with LiTFSI","density, diffusion_coefficient",6
"Title: Structure of Atactic Polystyrene:  A Molecular Dynamics Simulation Study

Abstract: We have performed a molecular dynamics simulation study of atactic polystyrene (a-PS) and its dimer 2,4-diphenylpentane (DPP) using a previously derived quantum chemistry based explicit atom force field. The X-ray structure factor of a-PS obtained from simulations was found to be in good agreement with experiment, reproducing the “amorphous” peak at around 1.4 Å-1 as well as the “polymerization peak” at around 0.75 Å-1 and its anomalous temperature dependence (increasing intensity with increasing temperature). We found that the amorphous peak in a-PS arises primarily from phenyl−phenyl correlations, with important intramolecular and intermolecular contributions. While the intermolecular component was found to shift to lower q with increasing temperature, the intramolecular component was found to be insensitive to temperature, resulting in a weak temperature dependence of the amorphous peak. Simulations revealed the presence of the polymerization peak in DPP, indicating that the designation “polymerization peak” for this feature is a misnomer. The polymerization peak in both a-PS and DPP was found to be due primarily to intermolecular correlations of backbone atoms. This underlying correlation showed the expected decrease in intensity and shifting to lower q with increasing temperature. The shifting to lower q of intermolecular phenyl−phenyl and phenyl−backbone correlations with increasing temperature was found to lead to the observed anomalous temperature dependence of the polymerization peak.

Polymers Studied: Atactic Polystyrene
Properties Measured: density
Force Fields Used: quantum chemistry based explicit atom force field

Sample Data:
  - Atactic Polystyrene: density = 1.051
  - Atactic Polystyrene: density = 0.995

DOI: https://doi.org/10.1021/ma0003553",paper,https://doi.org/10.1021/ma0003553,Structure of Atactic Polystyrene:  A Molecular Dynamics Simulation Study,Atactic Polystyrene,density,2
"Title: Study of dielectric properties of meta-aramid fibers by molecular dynamics methods using modified OPLSAA force field

Abstract: The dielectric properties of materials have been a prevalent subject in dielectric physics research. However, the theoretical calculation of the dielectric properties of polymer insulating materials remains challenging. Taking meta-aramid fiber (PMIA) as the research object, the micro-dielectric relaxation process of the PMIA system was studied by molecular dynamics and the polarization frequency response theory. The OPLSAA force field was optimized based on the density functional theory B3LYP/6-31G. Using calculations of the spatial structure, chain motion, basic physical and chemical properties, and dielectric properties of PMIA, it was found that the optimized OPLSAA force field accurately indicated the dielectric properties of PMIA. The frequency-dependent dielectric properties of PMIA calculated by the optimized OPLSAA force field were consistent with the polarization frequency response theory, and the simulation results agreed with the Debye model theory. The theoretical calculation process of polymer dielectric properties based on molecular dynamics presented in this paper provides a new avenue to improve the prediction accuracy of polymer dielectric properties.

Polymers Studied: Poly(m-phenylene isophthalamide)
Properties Measured: density, glass_transition_temp
Force Fields Used: Modified OPLSAA, COMPASS, PCFF

Sample Data:
  - Poly(m-phenylene isophthalamide): density = 1.249
  - Poly(m-phenylene isophthalamide): glass_transition_temp = 564
  - Poly(m-phenylene isophthalamide): density = 1.297
  - Poly(m-phenylene isophthalamide): glass_transition_temp = 567
  - Poly(m-phenylene isophthalamide): density = 1.247
  ... and 1 more measurements

DOI: https://doi.org/10.1016/j.polymer.2022.125331",paper,https://doi.org/10.1016/j.polymer.2022.125331,Study of dielectric properties of meta-aramid fibers by molecular dynamics methods using modified OPLSAA force field,Poly(m-phenylene isophthalamide),"density, glass_transition_temp",6
"Title: Validation of Force Fields of Rubber through Glass-Transition Temperature Calculation by Microsecond Atomic-Scale Molecular Dynamics Simulation

Abstract: Microsecond atomic-scale molecular dynamics simulation has been employed to calculate the glass-transition temperature (Tg) of cis- and trans-1,4-polybutadiene (PB) and 1,4-polyisoprene (PI). Both all-atomistic and united-atom models have been simulated using force fields, already available in literature. The accuracy of these decade old force fields has been tested by comparing calculated glass-transition temperatures to the corresponding experimental values. Tg depicts the phase transition in elastomers and substantially affects various physical properties of polymers, and hence the reproducibility of Tg becomes very crucial from a thermodynamic point of view. Such validation using Tg also evaluates the ability of these force fields to be used for advanced materials like rubber nanocomposites, where Tg is greatly affected by the presence of fillers. We have calculated Tg for a total of eight systems, featuring all-atom and united-atom models of cis- and trans-PI and -PB, which are the major constituents of natural and synthetic rubber. Tuning and refinement of the force fields has also been done using quantum-chemical calculations to obtain desirable density and Tg. Thus, a set of properly validated force fields, capable of reproducing various macroscopic properties of rubber, has been provided. A novel polymer equilibration protocol, involving potential energy convergence as the equilibration criterion, has been proposed. We demonstrate that not only macroscopic polymer properties like density, thermal expansion coefficient, and Tg but also local structural characteristics like end-to-end distance (R) and radius of gyration (Rg) and mechanical properties like bulk modulus have also been equilibrated using our strategy. Complete decay of end-to-end vector autocorrelation function with time also supports proper equilibration using our strategy.

Polymers Studied: cis-1,4-Polybutadiene, trans-1,4-Polybutadiene, cis-1,4-Polyisoprene, trans-1,4-Polyisoprene
Properties Measured: density, glass_transition_temp, radius_gyration
Force Fields Used: United-atom (Smith and Paul), All-atom (OPLS-AA based), United-atom (Harmandaris et al.), All-atom (Modified Faller et al.)

Sample Data:
  - cis-1,4-Polybutadiene: density = 0.89
  - cis-1,4-Polybutadiene: glass_transition_temp = 200
  - cis-1,4-Polybutadiene: density = 0.894
  - cis-1,4-Polybutadiene: glass_transition_temp = 190
  - cis-1,4-Polybutadiene: radius_gyration = 1.54
  ... and 15 more measurements

DOI: https://doi.org/10.1021/acs.jpcb.5b10789",paper,https://doi.org/10.1021/acs.jpcb.5b10789,Validation of Force Fields of Rubber through Glass-Transition Temperature Calculation by Microsecond Atomic-Scale Molecular Dynamics Simulation,"cis-1,4-Polybutadiene, trans-1,4-Polybutadiene, cis-1,4-Polyisoprene, trans-1,4-Polyisoprene","density, glass_transition_temp, radius_gyration",20
"Title: A coarse-grain force field based on quantum mechanics (CGq FF) for molecular dynamics simulation of poly(ethylene glycol)-block-poly (e-caprolactone) (PEG-b-PCL) micelles

Abstract: In order to provide the means to predict from molecular dynamics (MD) simulations the structures of copolymer-based micelles in solution, we developed coarse grain force field (CGq FF) parameters for poly(ethylene glycol) (PEG) and for poly(ε-caprolactone) (PCL). A key advance here is the use of quantum mechanics to train the parameters describing the non-bonded (NB) interactions between the CG beads. The functional forms are the same as the MARTINI CG FF so standard MD codes can be used. Our CGq FF describes well the experimentally observed properties for the polymer–air and polymer–water interfaces, indicating the accuracy of the NB interactions. The structural properties (density, radius of gyration (Rg), and end-to-end distance (h)) match both experiment and all atom (AA) simulations. We illustrate the application of this CGq FF by following the formation of a spherical micelle from 250 chains of PEG23-b-PCL9 diblock copolymer, each block with molecular weight of 1000 Daltons (10 500 beads, corresponding to 123 250 atoms), in a water box with 119 139 water beads (426 553 water molecules).

Polymers Studied: Poly(ethylene glycol) (PEG9), Polycaprolactone (PCL10), Methoxy-poly(ethylene glycol)-block-polycaprolactone (MePEG23-b-PCL9)
Properties Measured: density, radius_gyration
Force Fields Used: CGq FF (MARTINI based)

Sample Data:
  - Poly(ethylene glycol) (PEG9): density = 1.126
  - Polycaprolactone (PCL10): density = 1.212
  - Methoxy-poly(ethylene glycol)-block-polycaprolactone (MePEG23-b-PCL9): radius_gyration = 3.535

DOI: https://doi.org/10.1039/d0cp04364h",paper,https://doi.org/10.1039/d0cp04364h,A coarse-grain force field based on quantum mechanics (CGq FF) for molecular dynamics simulation of poly(ethylene glycol)-block-poly (e-caprolactone) (PEG-b-PCL) micelles,"Poly(ethylene glycol) (PEG9), Polycaprolactone (PCL10), Methoxy-poly(ethylene glycol)-block-polycaprolactone (MePEG23-b-PCL9)","density, radius_gyration",3
"Title: A coil-to-globule transition capable coarse-grained model for poly(N-isopropylacrylamide)

Abstract: We present a model for mesoscopic molecular dynamics simulations of poly(N-isopropyl-acrylamide) (pNIPAM). The model uses a coarse-grained scheme based on the explicit-solvent Martini force field. The mapping of the polymer accounts for three beads per monomer. Similarly to the Martini water bead, the amide moieties of the polymer include an electric dipole. The model is tested by building polymer chains of different sizes and proved to accurately capture the thermal response of pNIPAM without including any temperature-dependent parameters. The critical temperature of the model is observed at (302.1 ± 1.1) K for a 35-mer and it keeps invariant when increasing the chain length. We deployed a series of replica-exchange molecular dynamics simulations that evidence the oligomer reaches thermodynamic equilibrium irrespective of the starting configuration. Finally, the model is applied to a membrane structure of pNIPAM where a good agreement with previous atomistic simulations is observed.

Polymers Studied: Poly(N-isopropylacrylamide)
Properties Measured: radius_gyration
Force Fields Used: Martini 2.2

Sample Data:
  - Poly(N-isopropylacrylamide): radius_gyration = 2.3
  - Poly(N-isopropylacrylamide): radius_gyration = 1.25

DOI: https://doi.org/10.1039/d0cp03101a",paper,https://doi.org/10.1039/d0cp03101a,A coil-to-globule transition capable coarse-grained model for poly(N-isopropylacrylamide),Poly(N-isopropylacrylamide),radius_gyration,2
"Title: A Molecular Dynamics Simulation Study of Segmental Relaxation Processes in Miscible Polymer Blends

Abstract: We have performed molecular dynamics simulations of blends composed of chemically realistic (CR) and lower barrier (LB) 1,4-polybutadiene (PBD) over a wide range of composition and temperature. In these blends, the dynamically fast component (LB-PBD, T g ‚Äö√¢√† 108 K) and dynamically slow component (CR-PBD, T g ‚Äö√¢√† 164 K) are conformationally, structurally, and thermodynamically very similar, with different dihedral barriers leading to significantly different segmental dynamics. We observe primary (R-relaxation) and secondary main-chain (≈í‚â§-relaxation) processes in the dielectric response of pure melts and CR-PBD/LB-PBD blends for all temperatures and compositions investigated. The separation between the dielectric Rand ≈í‚â§-relaxation processes of the fast component polymer significantly increases upon blending. This increasing separation dramatically influences the frequency-dependent dielectric susceptibility of the blend due to the significant strength of the fast component ≈í‚â§-relaxation process and the insensitivity of this relaxation process to the blend composition, providing a plausible explanation for the broadening of the blend dielectric response observed experimentally in a number of miscible blends. The results obtained from our simulations are discussed in light of concentration fluctuation, Lodge-McLeish, and coupling models.

Polymers Studied: Chemically Realistic 1,4-Polybutadiene, Lower-Barrier 1,4-Polybutadiene
Properties Measured: glass_transition_temp
Force Fields Used: quantum chemistry based united atom force field

Sample Data:
  - Chemically Realistic 1,4-Polybutadiene: glass_transition_temp = 164
  - Lower-Barrier 1,4-Polybutadiene: glass_transition_temp = 108

DOI: https://doi.org/10.1021/ma0608828",paper,https://doi.org/10.1021/ma0608828,A Molecular Dynamics Simulation Study of Segmental Relaxation Processes in Miscible Polymer Blends,"Chemically Realistic 1,4-Polybutadiene, Lower-Barrier 1,4-Polybutadiene",glass_transition_temp,2
"Title: A New Parameterization of an All-Atom Force Field for Cellulose

Abstract: We have parametrized an AMBER force field in a TEAMFF database to accurately represent intra- and intermolecular interactions of cellulose. Parameters are obtained by fitting quantum mechanics (QM) energetic data on a training set of 12 simple and substituted heterocycles, alcohols, ethers, and saccharides. The temperature-dependent Lennard–Jones parameters were optimized by fitting experimental data of 23 molecular liquids at different temperatures using molecular dynamics (MD) simulations. Validation on cellobiose, the monomer of cellulose, exhibits excellent agreement between the data obtained by molecular mechanics calculations using the present force field and QM calculations in terms of conformational energies, structures, and vibrational frequencies. The MD simulation results of cellulose Iβ crystal agree well with the experimental data, showing a 0.1% deviation in density and less than 1% deviations in all the cell parameters.

Polymers Studied: Cellulose Ib crystal
Properties Measured: density
Force Fields Used: AMBER (TEAMFF)

Sample Data:
  - Cellulose Ib crystal: density = 1.635

DOI: https://doi.org/10.1007/s11837-021-04732-9",paper,https://doi.org/10.1007/s11837-021-04732-9,A New Parameterization of an All-Atom Force Field for Cellulose,Cellulose Ib crystal,density,1
"Title: Atomistic hybrid particle-field molecular dynamics combined with slip-springs- Restoring entangled dynamics to simulations of polymer melts

Abstract: In hybrid particle-field (hPF) simulations (J. Chem. Phys., 2009 130, 214106), the entangled dynamics of polymer melts is lost due to chain crossability. Chains cross, because the field-treatment of the nonbonded interactions makes them effectively soft-core. We introduce a multi-chain slip-spring model (J. Chem. Phys., 2013 138, 104907) into the hPF scheme to mimic the topological constraints of entanglements.The structure of the polymer chains is consistent with that of regular molecular dynamics simulations and is not affected by the introduction of slip-springs. Although slight deviations are seen at short times, dynamical properties such as mean-square displacements and reorientational relaxation times are in good agreement with traditional molecular dynamics simulations and theoretical predictions at long times.

Polymers Studied: Polyethylene, Polyethylene (n=150), Polyethylene (n=350), Polyethylene (n=520), Polyethylene (n=1300), Polyethylene (n=2600)
Properties Measured: density
Force Fields Used: United-atom force field, United-atom model

Sample Data:
  - Polyethylene: density = 0.77
  - Polyethylene: density = 0.77
  - Polyethylene (n=150): density = 0.77
  - Polyethylene (n=350): density = 0.77
  - Polyethylene (n=520): density = 0.77
  ... and 2 more measurements

DOI: https://doi.org/10.1002/jcc.26428",paper,https://doi.org/10.1002/jcc.26428,Atomistic hybrid particle-field molecular dynamics combined with slip-springs- Restoring entangled dynamics to simulations of polymer melts,"Polyethylene, Polyethylene (n=150), Polyethylene (n=350), Polyethylene (n=520), Polyethylene (n=1300), Polyethylene (n=2600)",density,7
"Title: Branched polyethyleneimineCHARMM force field and molecular_dynamics_simulations

Abstract: Polyethyleneimine (PEI), one of the non-viral vectors of great interest for gene delivery, was investigated at all-atom level, with particular emphasis on its branched form. We report the extension of our previously published CHARMM force field (FF) for linear PEI, with parameters optimized specifically for branched configurations. A new residue type for the branch connector is introduced and the charges and bonded parameters are derived from ab initio calculations based on a model polymer. The new FF is validated by extensive molecular dynamics simulations of solvated branched PEIs of various protonation fractions and branch lengths. The gyration radii, end-to-end distances, and diffusion coefficients are compared with results for linear PEIs of similar molecular weights and protonation patterns. Solvated complexes of DNA with (linear/branched) PEI were also investigated to determine favorable attachment conformations. The parametrized atomistic force field is suitable for simulations of PEI with arbitrary branching pattern, protonation, and size, and is expected to provide relevant insights regarding optimal conditions for DNA-PEI complex formation.

Polymers Studied: Linear Polyethylenimine (LPEI39u4), Linear Polyethylenimine (LPEI39u2), Linear Polyethylenimine (LPEI51p0), Branched Polyethylenimine (BPEI17u2)
Properties Measured: radius_gyration, diffusion_coefficient
Force Fields Used: CHARMM

Sample Data:
  - Linear Polyethylenimine (LPEI39u4): radius_gyration = 1.91
  - Linear Polyethylenimine (LPEI39u2): radius_gyration = 2.24
  - Linear Polyethylenimine (LPEI51p0): radius_gyration = 1.66
  - Branched Polyethylenimine (BPEI17u2): diffusion_coefficient = 2.1e-10

DOI: https://doi.org/10.1002/jcc.27005",paper,https://doi.org/10.1002/jcc.27005,Branched polyethyleneimineCHARMM force field and molecular_dynamics_simulations,"Linear Polyethylenimine (LPEI39u4), Linear Polyethylenimine (LPEI39u2), Linear Polyethylenimine (LPEI51p0), Branched Polyethylenimine (BPEI17u2)","radius_gyration, diffusion_coefficient",4
"Title: C_H_O_F_Al ReaxFF Force Field Development and Application to Study the Condensed-Phase Poly(vinylidene fluoride) and Reaction Mechanisms with Aluminum

Abstract: Poly(vinylidene fluoride) (PVDF) is a well-known polymer with a (−CH2–CF2−)n chemical formula that is used, in particular, in electronic devices. The spatial arrangements of −CH2– and −CF2– units and the spatial alignment of PVDF chains determine the ferroelectricity, pyroelectricity, and piezoelectricity of condensed-phase PVDF. PVDF can be fabricated with Al metal as an energetic composite for rocket propellants. To better understand how PVDF molecular structures affect the properties in the condensed phase and the chemical reaction mechanisms with Al, we have developed a C/H/O/Al/F ReaxFF force field through parameterization against data from quantum mechanical (QM) calculations and experiments. This ReaxFF force field demonstrates good transferability in both low-temperature regimes, dominated by nonreactive conformational changes, and high-temperature regimes, dominated by PVDF chemical conversion. In the low-temperature regime, we investigated the α → β crystalline phase transition kinetics induced by a poling electric field or mechanical deformation. The molecular dynamics (MD) simulations show that electric field magnitude thresholds for the α → β crystalline phase transitions are 5.0 and 7.5 GV/m in the y and x directions, respectively. In addition, we found that the trans-gauche+–trans-gauche– conformation in the α crystalline structure transforms to the all-trans conformation through mechanical deformation. However, the all-trans chains are arranged in an antiparallel pattern in the stretched structure, resulting in zero polarity. We also observed that the poling electric field threshold can be reduced by combining it with mechanical deformation. In the high-temperature regime, we analyzed the reactions between PVDF and surface-oxidized Al nanoparticles. Results indicate that the reactions are triggered by the absorption of an H or F atom from PVDF to the alumina surface, followed by HF formation from PVDF pyrolysis. The produced HF molecules rapidly react with the surface alumina to form OH and AlFx. The activation energy of AlFx formation is estimated using Arrhenius analysis. In addition, OH groups combine to produce H2O vapor, whereas AlFx aggregates. Moreover, AlCx is also produced. The developed C/H/O/F/Al ReaxFF force field can serve for future studies of composite materials involving Al, alumina, PVDF, and its copolymers.

Polymers Studied: Poly(vinylidene fluoride)
Properties Measured: youngs_modulus
Force Fields Used: C/H/O/F/Al ReaxFF

Sample Data:
  - Poly(vinylidene fluoride): youngs_modulus = 132
  - Poly(vinylidene fluoride): youngs_modulus = 294
  - Poly(vinylidene fluoride): youngs_modulus = 144
  - Poly(vinylidene fluoride): youngs_modulus = 80

DOI: https://doi.org/10.1021/acs.jpcc.2c02043",paper,https://doi.org/10.1021/acs.jpcc.2c02043,C_H_O_F_Al ReaxFF Force Field Development and Application to Study the Condensed-Phase Poly(vinylidene fluoride) and Reaction Mechanisms with Aluminum,Poly(vinylidene fluoride),youngs_modulus,4
"Title: Characterizing moisture uptake and plasticization effects of water on amorphous amylose starch models using molecular dynamics methods

Abstract: Dynamics and thermophysical properties of amorphous starch were explored using molecular dynamics (MD) simulations. Using the OPLS3e force field, simulations of short amylose chains in water were performed to determine force field accuracy. Using well-tempered metadynamics, a free energy map of the two glycosidic angles of an amylose molecule was constructed and compared with other modern force fields. Good agreement of torsional sampling for both solvated and amorphous amylose starch models was observed. Using combined grand canonical Monte Carlo (GCMC)/MD simulations, a moisture sorption isotherm curve is predicted along with temperature dependence. Concentration-dependent activation energies for water transport agree quantitatively with previous experiments. Finally, the plasticization effect of moisture content on amorphous starch was investigated. Predicted glass transition temperature (Tg) depression as a function of moisture content is in line with experimental trends. Further, our calculations provide a value for the dry Tg for amorphous starch, a value which no experimental value is available.

Polymers Studied: Amylose DP12
Properties Measured: radius_gyration
Force Fields Used: OPLS3e

Sample Data:
  - Amylose DP12: radius_gyration = 1.3

DOI: https://doi.org/10.26434/chemrxiv.12582272.v1",paper,https://doi.org/10.26434/chemrxiv.12582272.v1,Characterizing moisture uptake and plasticization effects of water on amorphous amylose starch models using molecular dynamics methods,Amylose DP12,radius_gyration,1
"Title: Coarse-graining of polyisoprene melts using inverse Monte Carlo and local density potentials

Abstract: Bottom-up coarse-graining of polymers is commonly performed by matching structural order parameters such as distribution of bond lengths, bending and dihedral angles, and pair distribution functions. In this study, we introduce the distribution of nearest-neighbors as an additional order parameter in the concept of local density potentials. We describe how the inverse-Monte Carlo method provides a framework for forcefield development that is capable of overcoming challenges associated with the parameterization of interaction terms in polymer systems. The technique is applied on polyisoprene melts as a prototype system. We demonstrate that while different forcefields can be developed that perform equally in terms of matching target distributions, the inclusion of nearest-neighbors provides a straightforward route to match both thermodynamic and conformational properties. We find that several temperature state points can also be addressed, provided that the forcefield is refined accordingly. Finally, we examine both the single-particle and the collective dynamics of the coarse-grain models, demonstrating that all forcefields present a similar acceleration relative to the atomistic systems.

Polymers Studied: Polyisoprene
Properties Measured: density, radius_gyration
Force Fields Used: Coarse-grained (CG) models developed via inverse Monte Carlo

Sample Data:
  - Polyisoprene: density = 0.835
  - Polyisoprene: radius_gyration = 1.35

DOI: https://doi.org/10.1063/1.5143245",paper,https://doi.org/10.1063/1.5143245,Coarse-graining of polyisoprene melts using inverse Monte Carlo and local density potentials,Polyisoprene,"density, radius_gyration",2
"Title: Conformational Heterogeneity and Interchain Percolation Revealed in an Amorphous Conjugated Polymer

Abstract: Conjugated polymers are employed in a variety of application areas due to their bright fluorescence and strong biocompatibility. However, understanding the structure of amorphous conjugated polymers on the nanoscale is extremely challenging compared to their related crystalline phases. Using a bespoke classical force field, we study amorphous poly(9,9-di-n-octylfluorene-alt-benzothiadiazole) (F8BT) with molecular dynamics simulations to investigate the role that its nanoscale structure plays in controlling its emergent (and all-important) optical properties. Notably, we show that a giant percolating cluster exists within amorphous F8BT, which has ramifications in understanding the nature of interchain species that drive the quantum yield reduction and bathochromic shift observed in conjugated polymer-based devices and nanostructures. We also show that distinct conformations can be unravelled from within the disordered structure of amorphous F8BT using a two-stage machine learning protocol, highlighting a link between molecular conformation and ring stacking propensity. This work provides predictive understanding by which to enhance the optical properties of next-generation conjugated polymer-based devices and materials by rational, simulation-led design principles.

Polymers Studied: Poly(9,9-dioctylfluorene-alt-benzothiadiazole)
Properties Measured: glass_transition_temp
Force Fields Used: bespoke classical force field

Sample Data:
  - Poly(9,9-dioctylfluorene-alt-benzothiadiazole): glass_transition_temp = 478

DOI: https://doi.org/10.1021/acsnano.2c04794",paper,https://doi.org/10.1021/acsnano.2c04794,Conformational Heterogeneity and Interchain Percolation Revealed in an Amorphous Conjugated Polymer,"Poly(9,9-dioctylfluorene-alt-benzothiadiazole)",glass_transition_temp,1
"Title: Designing Accurate Moment Tensor Potentials for Phonon-Related Properties of Crystalline Polymers

Abstract: The phonon-related properties of crystalline polymers are highly relevant for various applications. Their simulation is, however, particularly challenging, as the systems that need to be modeled are often too extended to be treated by ab initio methods, while classical force fields are too inaccurate. Machine-learned potentials parametrized against material-specific ab initio data hold the promise of being extremely accurate and also highly efficient. Still, for their successful application, protocols for their parametrization need to be established to ensure an optimal performance, and the resulting potentials need to be thoroughly benchmarked. These tasks are tackled in the current manuscript, where we devise a protocol for parametrizing moment tensor potentials (MTPs) to describe the structural properties, phonon band structures, elastic constants, and forces in molecular dynamics simulations for three prototypical crystalline polymers: polyethylene (PE), polythiophene (PT), and poly-3-hexylthiophene (P3HT). For PE, the thermal conductivity and thermal expansion are also simulated and compared to experiments. A central element of the approach is to choose training data in view of the considered use case of the MTPs. This not only yields a massive speedup for complex calculations while essentially maintaining DFT accuracy, but also enables the reliable simulation of properties that, so far, have been entirely out of reach.

Polymers Studied: Polyethylene (PE), Polythiophene, Poly(3-hexylthiophene)
Properties Measured: youngs_modulus
Force Fields Used: Moment Tensor Potential (MTPphonon, level 26)

Sample Data:
  - Polyethylene (PE): youngs_modulus = 328
  - Polythiophene: youngs_modulus = 383
  - Poly(3-hexylthiophene): youngs_modulus = 151

DOI: https://doi.org/10.3390/molecules29163724",paper,https://doi.org/10.3390/molecules29163724,Designing Accurate Moment Tensor Potentials for Phonon-Related Properties of Crystalline Polymers,"Polyethylene (PE), Polythiophene, Poly(3-hexylthiophene)",youngs_modulus,3
"Title: Development of a transferable coarse-grained model of polydimethylsiloxane

Abstract: Polydimethylsiloxane (PDMS) is a popular silicon-based polymer with advanced applications in microfluidics and nanocomposites. The slow dynamics of polymer chains in such complex systems hinders molecular dynamics investigations based on all atom force fields. This limitation can be overcome by exploiting finely tuned coarse-grained (CG) models. This paper develops a transferable CG model of PDMS, compatible with the recent Martini 3 force field, using structural and thermodynamic properties as targets in the parametrization, including a vast set of experimental free energies of transfer. We validate the model transferability by reproducing the correct scaling laws for the PDMS gyration radius in the melt and good and bad solvents. We successfully test the model by reproducing the wetting behavior of water and acetonitrile on PDMS and the phase behavior of a PDMS–peptide triblock copolymer system. This work sets the stage for computational studies involving the interaction between PDMS and many synthetic and biological molecules modeled within the Martini framework.

Polymers Studied: Polydimethylsiloxane
Properties Measured: density
Force Fields Used: Martini 3, Atomistic model (classical force field)

Sample Data:
  - Polydimethylsiloxane: density = 0.96
  - Polydimethylsiloxane: density = 0.96

DOI: https://doi.org/10.1039/d2sm00939k",paper,https://doi.org/10.1039/d2sm00939k,Development of a transferable coarse-grained model of polydimethylsiloxane,Polydimethylsiloxane,density,2
